journal_name,short_name,dict,if2023,if5year,jcr,rank,cas
SOLAR PHYSICS,SOL PHYS,ASTRONOMY & ASTROPHYSICS,2.7,2.4,Q2,32/84,3
Solar RRL,SOL RRL,"MATERIALS SCIENCE, MULTIDISCIPLINARY",6,6.4,Q1,106/438,3
SOLAR SYSTEM RESEARCH,SOLAR SYST RES+,ASTRONOMY & ASTROPHYSICS,0.6,0.7,Q4,72/84,4
Solar-Terrestrial Physics,SOL-TERR PHYS,GEOCHEMISTRY & GEOPHYSICS,0.9,0.8,Q4,77/101,4
Soldagem & Inspecao,SOLDAGEM INSP,METALLURGY & METALLURGICAL ENGINEERING,0.3,0.4,Q4,86/90,4
SOLDERING & SURFACE MOUNT TECHNOLOGY,SOLDER SURF MT TECH,METALLURGY & METALLURGICAL ENGINEERING,1.7,1.4,Q2,40/90,4
SOLETRAS,SOLETRAS,LANGUAGE & LINGUISTICS,<0.1,<0.1,N/A,N/A,4
Solid Earth,SOLID EARTH,GEOCHEMISTRY & GEOPHYSICS,3.2,3.1,Q1,23/101,2
Solid Earth Sciences,SOLID EARTH SCI,"GEOSCIENCES, MULTIDISCIPLINARY",2,2.6,Q3,134/253,3
Solid Fuel Chemistry,SOLID FUEL CHEM+,"ENGINEERING, CHEMICAL",0.8,0.8,Q4,142/170,4
SOLID STATE COMMUNICATIONS,SOLID STATE COMMUN,"PHYSICS, CONDENSED MATTER",2.1,1.9,Q3,47/79,4
SOLID STATE IONICS,SOLID STATE IONICS,"PHYSICS, CONDENSED MATTER",3,3.2,Q2,33/79,4
SOLID STATE NUCLEAR MAGNETIC RESONANCE,SOLID STATE NUCL MAG,SPECTROSCOPY,1.8,1.8,Q2,22/44,3
SOLID STATE SCIENCES,SOLID STATE SCI,"PHYSICS, CONDENSED MATTER",3.4,3.1,Q2,29/79,3
Solids,SOLIDS-BASEL,"MATERIALS SCIENCE, MULTIDISCIPLINARY",2.4,2.4,Q3,267/438,4
SOLID-STATE ELECTRONICS,SOLID STATE ELECTRON,"PHYSICS, CONDENSED MATTER",1.4,1.4,Q4,61/79,4
SOLVENT EXTRACTION AND ION EXCHANGE,SOLVENT EXTR ION EXC,"CHEMISTRY, MULTIDISCIPLINARY",1.8,2.7,Q3,144/230,4
SOLVENT EXTRACTION RESEARCH AND DEVELOPMENT-JAPAN,SOLVENT EXTR RES DEV,"ENGINEERING, CHEMICAL",0.6,0.8,Q4,150/170,4
Somatechnics,SOMATECHNICS,"SOCIAL SCIENCES, INTERDISCIPLINARY",0.8,0.6,Q3,139/263,4
SOMATOSENSORY AND MOTOR RESEARCH,SOMATOSENS MOT RES,NEUROSCIENCES,1.3,1.5,Q4,277/310,4
Somnologie,SOMNOLOGIE,CLINICAL NEUROLOGY,0.6,1.2,Q4,256/277,4
Sonography,SONOGRAPHY-AUST,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",0.4,N/A,Q4,190/204,4
Sophia,SOPHIA,PHILOSOPHY,0.5,0.5,N/A,N/A,3
Sophia-Coleccion de Filosofia de la Educacion,SOPHIA-COLECCION FIL,EDUCATION & EDUCATIONAL RESEARCH,0.7,0.4,Q3,520/756,4
Sophia-Educacion,SOPHIA-EDUC,EDUCATION & EDUCATIONAL RESEARCH,0.1,0.2,Q4,699/756,4
SORT-Statistics and Operations Research Transactions,SORT-STAT OPER RES T,STATISTICS & PROBABILITY,0.7,1.2,Q3,126/168,4
Sosyoekonomi,SOSYOEKONOMI,ECONOMICS,0.3,0.3,Q4,539/597,4
SOTSIOLOGICHESKIE ISSLEDOVANIYA,SOTSIOL ISSLED+,SOCIOLOGY,0.5,0.5,Q4,169/217,4
Souls,SOULS,ETHNIC STUDIES,<0.1,1.1,Q4,39/39,4
SOUND AND VIBRATION,SOUND VIB,ACOUSTICS,0.9,0.5,Q4,32/40,4
Sound Studies,SOUND STUD,"HUMANITIES, MULTIDISCIPLINARY",0.4,N/A,N/A,N/A,2
SOUNDINGS,SOUNDINGS,"HUMANITIES, MULTIDISCIPLINARY",1.1,1.4,N/A,N/A,4
SOURCE-NOTES IN THE HISTORY OF ART,SOURCE-NOTE HIST ART,ART,0.2,0.3,N/A,N/A,3
South African Actuarial Journal,S AFR ACTUAR J,"BUSINESS, FINANCE",<0.1,<0.1,Q4,229/231,4
SOUTH AFRICAN ARCHAEOLOGICAL BULLETIN,S AFR ARCHAEOL BULL,ARCHAEOLOGY,1.3,0.9,N/A,N/A,2
South African Crime Quarterly-SACQ,S AFR CRIME Q,CRIMINOLOGY & PENOLOGY,0.2,0.5,Q4,108/113,4
South African Family Practice,S AFR FAM PRACT,"MEDICINE, GENERAL & INTERNAL",1.2,1.2,Q2,150/325,4
South African Geographical Journal,S AFR GEOGR J,GEOGRAPHY,1.1,1.8,Q3,94/171,4
SOUTH AFRICAN HISTORICAL JOURNAL,S AFR HIST J,HISTORY,0.4,0.6,Q1,121/518,3
SOUTH AFRICAN JOURNAL FOR RESEARCH IN SPORT PHYSICAL EDUCATION AND RECREATION,S AFR J RES SPORT PH,"SOCIAL SCIENCES, INTERDISCIPLINARY",0.5,0.5,Q3,166/263,4
South African Journal of Accounting Research,S AFR J ACCOUNT RES,"BUSINESS, FINANCE",1.1,1.2,Q3,160/231,4
South African Journal of African Languages,S AFR J AFR LANG,LANGUAGE & LINGUISTICS,0.4,0.3,N/A,N/A,3
SOUTH AFRICAN JOURNAL OF ANIMAL SCIENCE,S AFR J ANIM SCI,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",0.7,1.1,Q3,59/80,4
South African Journal of Art History,SOUTH AFR J ART HIST,ART,<0.1,0.1,N/A,N/A,4
South African Journal of Bioethics and Law,S AFR J BIOETH LAW,MEDICAL ETHICS,0.5,0.7,Q4,19/23,4
SOUTH AFRICAN JOURNAL OF BOTANY,S AFR J BOT,PLANT SCIENCES,2.7,2.9,Q2,84/265,3
South African Journal of Business Management,S AFR J BUS MANAG,MANAGEMENT,0.9,1.2,Q4,336/401,4
SOUTH AFRICAN JOURNAL OF CHEMISTRY-SUID-AFRIKAANSE TYDSKRIF VIR CHEMIE,S AFR J CHEM-S-AFR T,"CHEMISTRY, MULTIDISCIPLINARY",0.8,1.3,Q4,189/230,4
South African Journal of Child Health,S AFR J CHILD HEALTH,PEDIATRICS,0.2,0.6,Q4,168/186,4
South African Journal of Childhood Education,S AFR J CHILD EDUC,EDUCATION & EDUCATIONAL RESEARCH,0.8,1.1,Q3,488/756,4
South African Journal of Clinical Nutrition,S AFR J CLIN NUTR,NUTRITION & DIETETICS,0.8,1.3,Q4,94/114,4
SOUTH AFRICAN JOURNAL OF COMMUNICATION DISORDERS,S AFR J COMMUN DISOR,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,1,1.1,Q3,26/35,4
South African Journal of Cultural History,SOUTH AFR J CULT HIS,HISTORY,0.1,0.1,Q3,327/518,4
South African Journal of Economic and Management Sciences,S AFR J ECON MANAG S,MANAGEMENT,1.2,1.3,Q4,304/401,4
SOUTH AFRICAN JOURNAL OF ECONOMICS,S AFR J ECON,ECONOMICS,1.6,1.6,Q2,273/597,3
South African Journal of Education,S AFR J EDUC,EDUCATION & EDUCATIONAL RESEARCH,0.7,1.4,Q3,520/756,4
SOUTH AFRICAN JOURNAL OF ENOLOGY AND VITICULTURE,S AFR J ENOL VITIC,FOOD SCIENCE & TECHNOLOGY,1.1,1.5,Q4,142/173,4
SOUTH AFRICAN JOURNAL OF GEOLOGY,S AFR J GEOL,GEOLOGY,1.2,1.3,Q2,26/60,4
South African Journal of Geomatics,S AFR J GEOMAT,REMOTE SENSING,0.3,0.5,Q4,57/62,4
South African Journal of Higher Education,S AFR J HIGH EDUC,EDUCATION & EDUCATIONAL RESEARCH,0.6,0.8,Q3,555/756,4
South African Journal of Industrial Engineering,S AFR J IND ENG,"ENGINEERING, INDUSTRIAL",0.5,0.7,Q4,66/69,4
South African Journal of Information Management,S AFR J INFORM MANAG,INFORMATION SCIENCE & LIBRARY SCIENCE,1.2,1.5,Q3,81/160,4
South African Journal of International Affairs-SAJIA,S AFR J INT AFF,INTERNATIONAL RELATIONS,0.8,1,Q3,99/165,4
South African Journal of Libraries and Information Science,S AFR J LIBR INF,INFORMATION SCIENCE & LIBRARY SCIENCE,0.4,0.6,Q4,124/160,4
SOUTH AFRICAN JOURNAL OF PHILOSOPHY,S AFR J PHILOS,PHILOSOPHY,0.2,0.5,N/A,N/A,4
South African Journal of Physiotherapy,SOUTH AFR J PHYSIOTH,REHABILITATION,1,1.2,Q4,129/169,4
South African Journal of Plant and Soil,S AFR J PLANT SOIL,AGRONOMY,1.1,N/A,Q3,76/125,4
South African Journal of Psychiatry,SAJP-S AFR J PSYCHI,PSYCHIATRY,1,1.3,Q4,219/276,4
SOUTH AFRICAN JOURNAL OF PSYCHOLOGY,S AFR J PSYCHOL,"PSYCHOLOGY, MULTIDISCIPLINARY",1.9,1.6,Q2,92/218,4
SOUTH AFRICAN JOURNAL OF SCIENCE,S AFR J SCI,MULTIDISCIPLINARY SCIENCES,1.5,2,Q2,63/134,4
SOUTH AFRICAN JOURNAL OF SURGERY,S AFR J SURG,SURGERY,0.4,0.5,Q4,260/290,4
South African Journal on Human Rights,S AFR J HUM RIGHTS,LAW,0.3,0.8,Q3,267/421,4
South African Museums Association Bulletin,S AFR MUS ASSOC BULL,"HUMANITIES, MULTIDISCIPLINARY",0.2,0.2,N/A,N/A,4
South African Review of Sociology,S AFR REV SOCIOL,SOCIOLOGY,0.5,0.9,Q4,169/217,4
SOUTH AFRICAN STATISTICAL JOURNAL,S AFR STAT J,STATISTICS & PROBABILITY,0.4,0.3,Q4,158/168,4
South African Theatre Journal,S AFR THEATRE J,THEATER,0.2,0.4,N/A,N/A,3
South American Journal of Herpetology,S AM J HERPETOL,ZOOLOGY,0.7,1,Q4,138/180,4
South Asia Research,SOUTH ASIA RES,ASIAN STUDIES,0.6,0.9,N/A,N/A,3
SOUTH ASIA-JOURNAL OF SOUTH ASIAN STUDIES,S ASIA,HISTORY,0.5,1.2,Q1,84/518,3
South Asian Diaspora,SOUTH ASIAN DIASPORA,AREA STUDIES,0.5,0.6,Q3,97/176,4
South Asian History and Culture,SOUTH ASIAN HIST CUL,ASIAN STUDIES,0.9,0.6,N/A,N/A,3
South Asian Journal of Business Studies,S ASIAN J BUS STUD,BUSINESS,2.1,3.4,Q3,176/302,4
South Asian Journal of Cancer,SOUTH ASIAN J CANCER,ONCOLOGY,0.6,0.9,Q4,299/322,4
South Asian Journal of Human Resource Management,S ASIAN J HUM RE MAN,MANAGEMENT,1.4,1.8,Q3,291/401,4
South Asian Journal of Macroeconomics and Public Finance,S ASIAN J MACROEC PU,ECONOMICS,0.6,0.6,Q4,466/597,4
South Asian Popular Culture,S ASIAN POPUL CULT,CULTURAL STUDIES,0.3,N/A,Q4,45/59,4
South Asian Review,S ASIAN REV,LITERATURE,0.3,N/A,N/A,N/A,4
South Asian Studies,S ASIAN STUD-UK,ASIAN STUDIES,0.5,1.2,N/A,N/A,4
SOUTH ATLANTIC QUARTERLY,S ATL Q,LITERARY REVIEWS,2.1,2.3,N/A,N/A,3
South Central Review,S CENT REV,"HUMANITIES, MULTIDISCIPLINARY",0.1,0.2,N/A,N/A,4
South East Asia Research,SOUTH EAST ASIA RES,ASIAN STUDIES,0.7,0.9,N/A,N/A,4
South East Asian Journal of Management,S E ASIAN J MANAGE,MANAGEMENT,0.4,0.9,Q4,371/401,4
South East European Journal of Economics and Business,S E EUR J ECON BUS,ECONOMICS,0.6,1.1,Q4,466/597,4
South European Society and Politics,S EUR SOC POLIT,SOCIAL ISSUES,3.7,3.7,Q1,7/67,1
South of Russia-Ecology Development,S RUSS-ECOL DEV,ECOLOGY,0.3,0.3,Q4,191/195,4
Southeast Asian Bulletin of Mathematics,SE ASIAN B MATH,MATHEMATICS,0.2,0.2,Q4,464/489,4
SOUTHEAST ASIAN JOURNAL OF TROPICAL MEDICINE AND PUBLIC HEALTH,SE ASIAN J TROP MED,TROPICAL MEDICINE,0.1,0.3,Q4,28/28,4
Southeast Asian Studies,SE ASIAN STUD,AREA STUDIES,0.4,0.6,Q3,115/176,4
Southeast European and Black Sea Studies,SE EUR BLACK SEA STU,AREA STUDIES,0.8,1.8,Q2,62/176,3
SOUTHEASTERN EUROPE,SOUTHEAST EUR,AREA STUDIES,0.4,0.7,Q3,115/176,4
Southeastern Geographer,SOUTHEAST GEOGR,GEOGRAPHY,0.6,0.7,Q3,119/171,4
SOUTHEASTERN NATURALIST,SOUTHEAST NAT,ECOLOGY,0.6,0.6,Q4,176/195,4
Southern African Business Review,SOUTH AFR BUS REV,LAW,0.3,0.6,Q3,267/421,4
Southern African Humanities,SOUTH AFR HUMANIT,"HUMANITIES, MULTIDISCIPLINARY",1.1,0.8,N/A,N/A,3
Southern African Journal of Accountability and Auditing Research-SAJAAR,SO AFR J ACCOUNT AUD,"BUSINESS, FINANCE",0.3,0.3,Q4,209/231,4
Southern African Journal of Anaesthesia and Analgesia,SOUTH AFR J ANAESTH,ANESTHESIOLOGY,0.3,0.4,Q4,53/64,4
Southern African Journal of Critical Care,SOUTH AFR J CRIT CAR,CRITICAL CARE MEDICINE,0.8,1,Q4,44/54,4
Southern African Journal of Gynaecological Oncology,SOUTH AFR J GYNAECOL,OBSTETRICS & GYNECOLOGY,0.1,0.3,Q4,130/136,4
SOUTHERN AFRICAN JOURNAL OF HIV MEDICINE,S AFR J HIV MED,VIROLOGY,1.6,1.9,Q4,33/41,4
Southern African Journal of Infectious Diseases,SOUTH AFR J INFECT D,INFECTIOUS DISEASES,1.4,1.2,Q4,108/132,4
Southern African Linguistics and Applied Language Studies,SO AFR LINGUIST APPL,LINGUISTICS,0.6,0.6,Q3,191/297,3
SOUTHERN CALIFORNIA LAW REVIEW,SOUTH CALIF LAW REV,LAW,1,1.5,Q2,124/421,4
Southern Communication Journal,SOUTH COMMUN J,COMMUNICATION,0.6,0.9,Q3,169/227,4
SOUTHERN CULTURES,SOUTH CULT,HISTORY,0.4,0.3,Q1,121/518,4
SOUTHERN ECONOMIC JOURNAL,SOUTH ECON J,ECONOMICS,1.8,1.7,Q2,241/597,3
Southern Forests-A Journal of Forest Science,SOUTH FORESTS,FORESTRY,0.7,0.9,Q3,63/89,4
SOUTHERN HUMANITIES REVIEW,SOUTHERN HUMAN REV,LITERARY THEORY & CRITICISM,<0.1,<0.1,N/A,N/A,4
SOUTHERN JOURNAL OF PHILOSOPHY,SOUTHERN J PHILOS,PHILOSOPHY,0.8,1,N/A,N/A,2
SOUTHERN MEDICAL JOURNAL,SOUTH MED J,"MEDICINE, GENERAL & INTERNAL",1,1,Q3,168/325,4
SOUTHWESTERN ENTOMOLOGIST,SOUTHWEST ENTOMOL,ENTOMOLOGY,0.3,0.4,Q4,103/109,4
SOUTHWESTERN HISTORICAL QUARTERLY,SOUTHWEST HIST QUART,HISTORY,0.2,0.1,Q2,234/518,4
SOUTHWESTERN NATURALIST,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Soviet and Post Soviet Review,SOV POST SOV REV,HISTORY,0.3,0.5,Q2,165/518,4
Sovremennye Tehnologii v Medicine,SOVREM TEHNOL MED,"MEDICINE, RESEARCH & EXPERIMENTAL",1.1,0.7,Q4,152/189,4
SOZIALE WELT-ZEITSCHRIFT FUR SOZIALWISSENSCHAFTLICHE FORSCHUNG UND PRAXIS,SOZ WELT,SOCIOLOGY,0.5,0.7,Q4,169/217,4
Space,SPACE,ARCHITECTURE,0.1,0.1,N/A,N/A,4
Space and Culture,SPACE CULT,GEOGRAPHY,1,1.1,Q3,98/171,4
SPACE AND POLITY,SPACE POLITY,GEOGRAPHY,2.2,2.3,Q2,49/171,3
SPACE POLICY,SPACE POLICY,"SOCIAL SCIENCES, INTERDISCIPLINARY",2,2.1,Q1,58/263,2
Space Science and Technology-Kosmicna Nauka i Tehnologia,SPACE SCI TECHNOL,ASTRONOMY & ASTROPHYSICS,0.6,0.4,Q4,72/84,4
SPACE SCIENCE REVIEWS,SPACE SCI REV,ASTRONOMY & ASTROPHYSICS,9.1,8.9,Q1,8/84,2
SPACE WEATHER-THE INTERNATIONAL JOURNAL OF RESEARCH AND APPLICATIONS,SPACE WEATHER,METEOROLOGY & ATMOSPHERIC SCIENCES,3.8,4.1,Q2,34/110,2
Space: Science & Technology,SPACE-SCI TECH-CHINA,"ENGINEERING, AEROSPACE",4.1,4.1,Q1,7/52,1
Spal,SPAL,ARCHAEOLOGY,0.6,0.5,N/A,N/A,4
Spanish in Context,SPAN CONTEXT,LINGUISTICS,0.4,0.5,Q4,226/297,4
SPANISH JOURNAL OF AGRICULTURAL RESEARCH,SPAN J AGRIC RES,"AGRICULTURE, MULTIDISCIPLINARY",0.8,1.1,Q3,55/89,4
Spanish Journal of Finance and Accounting-Revista Espanola de Financiacion y Contabilidad,SPAN J FINANC ACCOUN,"BUSINESS, FINANCE",0.9,1.1,Q3,169/231,4
Spanish Journal of Psychiatry and Mental Health,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Spanish Journal of Psychology,SPAN J PSYCHOL,"PSYCHOLOGY, MULTIDISCIPLINARY",2.9,2,Q1,46/218,4
Spanish Journal of Soil Science,SPAN J SOIL SCI,SOIL SCIENCE,2,1.1,Q3,30/49,4
Spatial and Spatio-Temporal Epidemiology,SPAT SPATIO-TEMPORAL,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2.1,2,Q3,202/403,4
Spatial Cognition and Computation,SPAT COGN COMPUT,"PSYCHOLOGY, EXPERIMENTAL",1.6,1.6,Q3,66/99,3
Spatial Demography,SPAT DEMOGR,DEMOGRAPHY,1.1,1.7,Q3,34/49,4
Spatial Economic Analysis,SPAT ECON ANAL,ECONOMICS,1.5,2,Q2,287/597,3
Spatial Information Research,SPAT INF RES,REMOTE SENSING,2,2.1,Q3,37/62,4
Spatial Statistics,SPAT STAT-NETH,STATISTICS & PROBABILITY,2.1,2.1,Q1,26/168,2
SPE DRILLING & COMPLETION,SPE DRILL COMPLETION,"ENGINEERING, PETROLEUM",1.3,1.4,Q3,N/A,4
SPE JOURNAL,SPE J,"ENGINEERING, PETROLEUM",3.2,3.2,Q1,N/A,3
SPE Production & Operations,SPE PROD OPER,"ENGINEERING, PETROLEUM",1.4,1.4,Q2,N/A,4
SPE RESERVOIR EVALUATION & ENGINEERING,SPE RESERV EVAL ENG,"GEOSCIENCES, MULTIDISCIPLINARY",2.1,2,Q3,127/253,4
Special Care in Dentistry,SPEC CARE DENT,"DENTISTRY, ORAL SURGERY & MEDICINE",0.9,1.2,Q3,113/157,4
Special Matrices,SPEC MATRICES,MATHEMATICS,0.8,0.8,Q2,178/489,4
Special Topics & Reviews in Porous Media-An International Journal,SPEC TOP REV POROUS,"ENGINEERING, MECHANICAL",1.4,2.1,Q3,123/180,4
SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY,SPECTROCHIM ACTA A,SPECTROSCOPY,4.3,3.8,Q1,5/44,2
SPECTROCHIMICA ACTA PART B-ATOMIC SPECTROSCOPY,SPECTROCHIM ACTA B,SPECTROSCOPY,3.2,3,Q1,8/44,2
SPECTROSCOPY,SPECTROSCOPY-US,SPECTROSCOPY,0.8,0.8,Q4,35/44,4
SPECTROSCOPY AND SPECTRAL ANALYSIS,SPECTROSC SPECT ANAL,SPECTROSCOPY,0.7,0.6,Q4,40/44,3
SPECTROSCOPY LETTERS,SPECTROSC LETT,SPECTROSCOPY,1.1,1.5,Q3,31/44,4
Spectrum,SPECTRUM-J BLACK MEN,ETHNIC STUDIES,0.2,0.4,Q4,37/39,4
SPECULUM-A JOURNAL OF MEDIEVAL STUDIES,SPECULUM,MEDIEVAL & RENAISSANCE STUDIES,1.2,1,N/A,N/A,1
SPEECH COMMUNICATION,SPEECH COMMUN,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",2.4,2.3,Q3,91/169,3
Speech Language and Hearing,SPEECH LANG HEARING,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,1,0.9,Q3,26/35,4
Spektrum der Augenheilkunde,SPEKTRUM AUGENHEILKD,OPHTHALMOLOGY,0.2,0.2,Q4,92/95,4
SPIEGEL DER LETTEREN,SPIEGEL LETT,"LITERATURE, GERMAN, DUTCH, SCANDINAVIAN",0.1,0.1,N/A,N/A,4
SPIN,SPIN-SINGAPORE,"PHYSICS, APPLIED",1.3,1.3,Q4,141/179,4
SPINAL CORD,SPINAL CORD,REHABILITATION,2.1,2.6,Q1,40/169,4
Spinal Cord Series and Cases,SPINAL CORD SER CASE,REHABILITATION,0.7,N/A,Q4,146/169,4
SPINE,SPINE,ORTHOPEDICS,2.6,3.2,Q1,29/136,2
Spine Deformity,SPINE DEFORM,ORTHOPEDICS,1.6,N/A,Q3,69/136,4
Spine Journal,SPINE J,ORTHOPEDICS,4.9,4.6,Q1,5/136,1
Spine Surgery and Related Research,SPINE SURG RELAT RES,SURGERY,1.2,1.4,Q3,186/290,4
Spirituality in Clinical Practice,SPIRITUAL CLIN PRACT,"PSYCHOLOGY, CLINICAL",1.4,1.4,Q3,120/180,4
Spirituality Studies,SPIRITUAL STUD,RELIGION,0.3,0.2,N/A,N/A,3
Spiritus-A Journal of Christian Spirituality,SPIRITUS,RELIGION,0.1,0.3,N/A,N/A,4
Spisanie Na B Lgarskoto Geologichesko Druzhestov-Review of the Bulgarian Geological Society,SPISANIE B LGARSKOTO,"GEOSCIENCES, MULTIDISCIPLINARY",0.2,0.2,Q4,247/253,4
SPIXIANA,SPIXIANA,ZOOLOGY,0.6,0.6,Q4,150/180,4
Spontaneous Generations-Journal for the History and Philosophy of Science,SPONTANEOUS GENER,HISTORY & PHILOSOPHY OF SCIENCE,<0.1,0.8,Q4,104/104,4
Sport Business and Management-An International Journal,SPORT BUS MANAG,"HOSPITALITY, LEISURE, SPORT & TOURISM",1.9,2.3,Q3,72/139,3
SPORT EDUCATION AND SOCIETY,SPORT EDUC SOC,SPORT SCIENCES,2.3,2.9,Q2,41/127,2
Sport Ethics and Philosophy,SPORT ETHICS PHILOS,ETHICS,1.6,1.6,Q2,31/77,3
Sport Exercise and Performance Psychology,SPORT EXERC PERFORM,"PSYCHOLOGY, APPLIED",2.6,3.1,Q2,48/113,2
Sport History Review,SPORT HIST REV,HISTORY,0.4,0.5,Q1,121/518,4
Sport in History,SPORT HIST,"HOSPITALITY, LEISURE, SPORT & TOURISM",0.5,0.7,Q4,121/139,4
Sport in Society,SPORT SOC,SOCIOLOGY,1.5,1.8,Q2,102/217,4
Sport Management Education Journal,SPORT MANAG EDUC J,EDUCATION & EDUCATIONAL RESEARCH,1.6,1.9,Q2,277/756,4
Sport Management Review,SPORT MANAG REV,MANAGEMENT,3.7,5,Q2,137/401,2
Sport Marketing Quarterly,SPORT MARKET Q,"HOSPITALITY, LEISURE, SPORT & TOURISM",2,3.4,Q2,68/139,4
SPORT PSYCHOLOGIST,SPORT PSYCHOL,SPORT SCIENCES,1.6,1.8,Q3,67/127,4
Sport Sciences for Health,SPORT SCI HLTH,SPORT SCIENCES,1.2,N/A,Q3,87/127,4
Sport TK-Revista Euroamericana de Ciencias del Deporte,SPORT TK,SPORT SCIENCES,0.4,0.5,Q4,118/127,4
Sportis-Scientific Technical Journal of School Sport Physical Education and Psychomotricity,SPORTIS,EDUCATION & EDUCATIONAL RESEARCH,0.7,0.7,Q3,520/756,4
Sports,SPORTS,SPORT SCIENCES,2.2,2.8,Q2,45/127,3
Sports Biomechanics,SPORT BIOMECH,SPORT SCIENCES,2,2.1,Q2,53/127,3
Sports Coaching Review,SPORTS COACH REV,"HOSPITALITY, LEISURE, SPORT & TOURISM",2.7,2.9,Q2,48/139,2
Sports Engineering,SPORTS ENG,SPORT SCIENCES,1.5,1.3,Q3,76/127,4
Sports Health-A Multidisciplinary Approach,SPORTS HEALTH,SPORT SCIENCES,2.7,3.7,Q1,28/127,3
SPORTS MEDICINE,SPORTS MED,SPORT SCIENCES,9.3,11.5,Q1,3/127,1
SPORTS MEDICINE AND ARTHROSCOPY REVIEW,SPORTS MED ARTHROSC,SPORT SCIENCES,2.5,3.3,Q2,33/127,4
Sports Medicine and Health Science,SPORTS MED HLTH SCI,SPORT SCIENCES,2.3,4,Q2,41/127,3
Sports Medicine-Open,SPORTS MED-OPEN,SPORT SCIENCES,4.1,5.5,Q1,11/127,2
SPORTVERLETZUNG-SPORTSCHADEN,SPORTVERLETZ SPORTSC,SPORT SCIENCES,0.6,1,Q4,107/127,4
Sprache & Sprachen,SPRACHE SPRACHEN,LANGUAGE & LINGUISTICS,<0.1,<0.1,N/A,N/A,4
SPRACHE-STIMME-GEHOR,SPRACHE-STIMME-GEHOR,OTORHINOLARYNGOLOGY,0.1,0.2,Q4,63/65,4
SPRACHWISSENSCHAFT,SPRACHWISSENSCHAFT,LANGUAGE & LINGUISTICS,0.2,0.2,N/A,N/A,4
SPUR-Scholarship and Practice of Undergraduate Research,SPUR-SCHOLARSH PRACT,EDUCATION & EDUCATIONAL RESEARCH,0.9,0.9,Q3,457/756,4
Sravnitelnaya Politika-Comparative Politics,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sri Lanka Journal of Social Sciences,SRI LANKA J SOC SCI,"SOCIAL SCIENCES, INTERDISCIPLINARY",0.5,0.5,Q3,166/263,4
Sri Lankan Journal of Anaesthesiology,SRI LANKAN J ANAESTH,ANESTHESIOLOGY,0.1,0.2,Q4,61/64,4
Srpski Arhiv za Celokupno Lekarstvo,SRP ARK CELOK LEK,"MEDICINE, GENERAL & INTERNAL",0.2,0.2,Q4,268/325,4
SSM-Mental Health,SSM-MENT HEALTH,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",4.1,4.1,Q1,53/403,3
SSM-Population Health,SSM-POPUL HLTH,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",3.6,3.9,Q1,78/403,2
SSM-Qualitative Research in Health,SSM-QUAL RES HEALTH,"SOCIAL SCIENCES, BIOMEDICAL",1.8,1.8,Q3,24/46,3
St Petersburg Mathematical Journal,ST PETERSB MATH J+,MATHEMATICS,0.7,0.7,Q2,217/489,4
St Petersburg Polytechnic University Journal-Physics and Mathematics,ST PETER POLY U J-PH,"PHYSICS, MULTIDISCIPLINARY",0.2,0.2,Q4,105/110,4
St Theresa Journal of Humanities and Social Sciences,ST THERESA J HUMANIT,"SOCIAL SCIENCES, INTERDISCIPLINARY",0.1,0.1,Q4,235/263,4
Stability-International Journal of Security and Development,STABILITY,INTERNATIONAL RELATIONS,0.6,0.7,Q3,119/165,4
Stahlbau,STAHLBAU,"ENGINEERING, CIVIL",0.3,0.4,Q4,172/181,4
STAND,STAND-UK,LITERARY REVIEWS,0.1,0.1,N/A,N/A,4
STANFORD LAW REVIEW,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stanislavski Studies,STANISL STUD,THEATER,0.2,0.2,N/A,N/A,3
STAPS-Sciences et Techniques des Activites Physiques et Sportives,STAPS-SCI TECH ACT P,"SOCIAL SCIENCES, INTERDISCIPLINARY",0.5,0.4,Q3,166/263,4
STAR Protocols,STAR PROTOC,BIOCHEMICAL RESEARCH METHODS,1.3,1.5,Q4,79/85,4
STARCH-STARKE,STARCH-STARKE,FOOD SCIENCE & TECHNOLOGY,2.6,2.9,Q2,85/173,4
Stat,STAT-US,STATISTICS & PROBABILITY,0.7,1.2,Q3,126/168,4
Stata Journal,STATA J,STATISTICS & PROBABILITY,3.2,6.3,Q1,12/168,3
State Crime,STATE CRIME,POLITICAL SCIENCE,1.5,1.5,Q2,133/317,3
State Politics & Policy Quarterly,STATE POLIT POLICY Q,POLITICAL SCIENCE,1.7,1.6,Q2,116/317,3
